platform,sold_id,listing_id,canonical_sku,sold_at,transaction_price,shipping_fee,units,seller_type
TikTok Shop,PHLIVE-202511101930-025,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-10 19:30:00,612.83,0,179,brand
TikTok Shop,PHLIVE-202511111500-024,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-11 15:00:00,568.12,0,52,brand
TikTok Shop,PHLIVE-202511111607-023,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-11 16:07:00,607.88,0,43,brand
TikTok Shop,PHLIVE-202511111701-022,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-11 17:01:00,471.39,0,446,brand
TikTok Shop,PHLIVE-202511121904-021,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-12 19:04:00,482.67,0,76,brand
TikTok Shop,PHLIVE-202511131127-020,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-13 11:27:00,418.8,0,5,brand
TikTok Shop,PHLIVE-202511131155-019,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-13 11:55:00,354.58,0,39,brand
TikTok Shop,PHLIVE-202511141825-018,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-14 18:25:00,481.17,0,106,brand
TikTok Shop,PHLIVE-202511151802-017,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-15 18:02:00,555.16,0,124,brand
TikTok Shop,PHLIVE-202511161639-016,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-16 16:39:00,378.98,0,40,brand
TikTok Shop,PHLIVE-202511171612-015,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-17 16:12:00,512.48,0,23,brand
TikTok Shop,PHLIVE-202511181124-014,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-18 11:24:00,459.96,0,56,brand
TikTok Shop,PHLIVE-202511191129-013,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-19 11:29:00,270.0,0,18,brand
TikTok Shop,PHLIVE-202511201710-012,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-20 17:10:00,246.86,0,28,brand
TikTok Shop,PHLIVE-202511211955-011,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-21 19:55:00,373.42,0,23,brand
TikTok Shop,PHLIVE-202511221459-010,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-22 14:59:00,469.32,0,53,brand
TikTok Shop,PHLIVE-202511231142-009,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-23 11:42:00,460.66,0,32,brand
TikTok Shop,PHLIVE-202511241723-008,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-24 17:23:00,472.83,0,80,brand
TikTok Shop,PHLIVE-202511251553-007,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-25 15:53:00,428.5,0,50,brand
TikTok Shop,PHLIVE-202511261135-006,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-26 11:35:00,414.85,0,33,brand
TikTok Shop,PHLIVE-202511271121-005,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-27 11:21:00,314.34,0,26,brand
TikTok Shop,PHLIVE-202511281320-004,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-28 13:20:00,549.95,0,75,brand
TikTok Shop,PHLIVE-202511282040-003,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-28 20:40:00,508.58,0,59,brand
TikTok Shop,PHLIVE-202511291324-002,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-29 13:24:00,414.4,0,22,brand
TikTok Shop,PHLIVE-202511301248-001,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-30 12:48:00,421.22,0,24,brand
