platform,listing_id,canonical_sku,brand,seller_id,captured_at,list_price,sale_price,currency,shipping_fee,rating_avg,review_count,sold_count_window,sales_rank,active_flag,seller_type,fulfillment_type
Amazon,B09VL925TR,B09VL925TR,Jueison,A1R8O16OU6H86I,2024-02-04 00:00:00.000,14.98,7.99,USD,0,3.8,31,69,107432,false,reseller,unknown
Amazon,B0B9HPXNWK,B0B9HPXNWK,Barn Eleven,A2UTVK55C6RH5G,2023-09-11 00:00:00.000,21.99,19.99,USD,0,3.6,205,53,263220,true,reseller,unknown
Amazon,B001D8CRB8,B001D8CRB8,"Honeywell Safety Products, USA",ATVPDKIKX0DER,2023-08-23 00:00:00.000,34.11,29.61,USD,0,4.6,1092,93,40272,true,reseller,unknown
Amazon,B00BLA4Z4K,B00BLA4Z4K,Groupe SEB,ATVPDKIKX0DER,2024-02-19 00:00:00.000,199.99,179.95,USD,0,4.7,474,101,29774,true,reseller,unknown
Amazon,B09V6S1D5S,B09V6S1D5S,Naiveer,A1JYQMWXAB6RHC,2022-10-25 00:00:00.000,269.99,215.99,USD,0,4.6,131,65,129375,false,reseller,unknown
Amazon,B0BMLST3SZ,B0BMLST3SZ,Honghao,A31N74NH7BCCQX,2024-01-16 00:00:00.000,6.99,4.99,USD,0,4.6,3,112,21064,false,reseller,unknown
Amazon,B005ESNEYW,B005ESNEYW,Nordic Pure,ATVPDKIKX0DER,2023-05-29 00:00:00.000,32.48,26.95,USD,0,4.8,1776,132,12419,false,reseller,unknown
Amazon,B07VDCY1HD,B07VDCY1HD,Vesgantti,A364JY85FHTSL6,2024-01-21 00:00:00.000,249.99,199.98,USD,0,4.5,1045,129,13356,true,reseller,unknown
Amazon,B09JDVBJ2W,B09JDVBJ2W,Bare Home,A3UBXJ2R9SZ9Z4,2023-08-23 00:00:00.000,103.99,89.99,USD,0,4.6,292,63,143194,true,reseller,unknown
Amazon,B0C7BP6VR1,B0C7BP6VR1,Yes4All,ATVPDKIKX0DER,2024-03-17 00:00:00.000,134.99,119.99,USD,0,4.4,14,98,33733,true,reseller,unknown
Amazon,B0C6QFMJRP,B0C6QFMJRP,SOLEDI,A8TC49H9K7WL6,2024-03-17 00:00:00.000,42.98,31.98,USD,0,4.5,21,300,39496,true,reseller,unknown
Amazon,B08FF7FTXR,B08FF7FTXR,HLC.ME,A30O927YF02NOP,2023-08-02 00:00:00.000,0,29.99,USD,0,4.4,368,38,793082,false,brand_owner,unknown
Amazon,B0006VR8AS,B0006VR8AS,AVERY,A23VBXMR4PFWK7,2022-09-15 00:00:00.000,0,37.87,USD,0,4.4,54,64,134922,false,reseller,unknown
Amazon,B09FRWLNDC,B09FRWLNDC,Huk,ATVPDKIKX0DER,2024-04-30 00:00:00.000,50,37.09,USD,0,4.7,65,46,418258,true,reseller,unknown
Amazon,B07Q5VTN34,B07Q5VTN34,Eurmax,A358RX1CWPYWOH,2023-08-22 00:00:00.000,15.99,14.39,USD,0,4.7,16025,185,4022,true,reseller,unknown
Amazon,B08PYCD4XV,B08PYCD4XV,Mudder,AIWI6D1LUBV5B,2023-09-11 00:00:00.000,14.99,13.99,USD,0,4.5,347,63,143636,true,reseller,unknown
Amazon,B08DK7LP8B,B08DK7LP8B,BDK,ATVPDKIKX0DER,2023-08-19 00:00:00.000,23.9,23.9,USD,0,4.2,960,95,36383,true,reseller,unknown
Amazon,B005EXPIO6,B005EXPIO6,KNIPEX,A15A341J4Q8LM6,2023-09-11 00:00:00.000,449.13,413.31,USD,0,3.9,10,51,302861,false,reseller,unknown
Amazon,B018WSR9N2,B018WSR9N2,Natural Factors,A2G7B63FOSFZJZ,2023-05-05 00:00:00.000,26.95,23.07,USD,0,4.8,684,99,32249,true,reseller,unknown
Amazon,B0B9MFXJW4,B0B9MFXJW4,WURAWUS,A13MRIDJZTU5KH,2024-05-13 00:00:00.000,1.89900000000000001,1.79900000000000001,USD,0,3.8,26,67,117322,false,reseller,unknown
Amazon,B0776W7JM5,B0776W7JM5,Gowithwind,ARTUS5LJIDMLL,2024-04-29 00:00:00.000,1.59900000000000001,12.95,USD,0,4.3,2575,50,45610,false,reseller,unknown
Amazon,B00CBJWBPU,B00CBJWBPU,Rust-Oleum,ATVPDKIKX0DER,2023-04-29 00:00:00.000,13.99,10.08,USD,0,4.4,332,85,53608,true,reseller,unknown
Amazon,B005EXO5CC,B005EXO5CC,KNIPEX,ATVPDKIKX0DER,2023-09-11 00:00:00.000,47.88,44.99,USD,0,4.4,19,44,489510,false,reseller,unknown
Amazon,B001CQEY3K,B001CQEY3K,Duralex,ABHKLA4YMRRHU,2023-08-25 00:00:00.000,25.81,21.58,USD,0,4.6,1345,93,39234,true,reseller,unknown
Amazon,B00LAEOM2M,B00LAEOM2M,IRWIN,ATVPDKIKX0DER,2023-09-11 00:00:00.000,11.17,9.81,USD,0,4.4,183,43,514867,true,reseller,unknown
Amazon,B0058EDMBC,B0058EDMBC,EURO TOOL,A3H9LZ81PN5OB0,2023-09-11 00:00:00.000,20.16,18.49,USD,0,4.4,15,46,399813,false,reseller,unknown
Amazon,B0BLRY7Z69,B0BLRY7Z69,FBLFOBELI,A2ZYD6L55LKYE3,2023-09-11 00:00:00.000,15.99,14.99,USD,0,3,6,35,988353,false,reseller,unknown
Amazon,B0C1G8TCH5,B0C1G8TCH5,BIDEN,A3NZ08IQKS3OFX,2023-10-04 00:00:00.000,27.71,23.99,USD,0,4.1,4240,77,73580,true,reseller,unknown
Amazon,B0B1J71B79,B0B1J71B79,PUROFLO,ACN5Y7371APA4,2022-10-23 00:00:00.000,0,299.99,USD,0,5,6,31,1570059,false,reseller,unknown
Amazon,B0CC1NYW5F,B0CC1NYW5F,KIRKAS,A1IDRPQXCHJNGS,2024-01-16 00:00:00.000,69.99,56.99,USD,0,4.6,62,73,87286,true,reseller,unknown
Amazon,B0BQ22LH2H,B0BQ22LH2H,KOAKOMI,A2O1E1E3YIWYNC,2024-03-17 00:00:00.000,23.99,17.99,USD,0,4.6,346,50,35832,true,reseller,unknown
Amazon,B093HB7XK3,B093HB7XK3,Wonesifee,A2HH0EC9LLBU7F,2024-04-29 00:00:00.000,1.59800000000000001,15.98,USD,0,4.6,202,50,15257,true,reseller,unknown
Amazon,B096FGSC39,B096FGSC39,Skechers,A2H2AYTJFCST9E,2023-08-02 00:00:00.000,0,70,USD,0,4.4,234,61,160537,false,reseller,unknown
Amazon,B07D4R3BLR,B07D4R3BLR,Spoontiques,A1TWYVWG4QDVKK,2022-09-27 00:00:00.000,14.99,9.76,USD,0,4.5,1601,115,19769,false,reseller,unknown
Amazon,B004J58WI4,B004J58WI4,iGrow,A1DXN92KCKEQV4,2022-09-26 00:00:00.000,0,453.99,USD,0,3.9,249,47,377733,false,reseller,unknown
Amazon,B095W5XWXV,B095W5XWXV,Loyanyy,A2JXITGVWQLQL4,2023-08-22 00:00:00.000,13.99,13.99,USD,0,4.4,822,88,47201,false,reseller,unknown
Amazon,B079YW5RT8,B079YW5RT8,SOLE,A38PQKE9DVJ09S,2022-09-30 00:00:00.000,0,55.00,USD,0,4.6,208,126,14544,false,reseller,unknown
Amazon,B0169ZPWUW,B0169ZPWUW,HONEST,ATVPDKIKX0DER,2022-09-20 00:00:00.000,6.99,6.49,USD,0,4.5,39736,459,193,false,reseller,unknown
Amazon,B0CQ43MLGW,B0CQ43MLGW,BFJLIFE,A2CQXOPT3646XI,2024-04-30 00:00:00.000,1.79900000000000001,14.99,USD,0,4.4,544,200,20474,true,reseller,unknown
Amazon,B0BK89447W,B0BK89447W,Fintie,A3A3E6QGUGPEMU,2024-04-30 00:00:00.000,1.49900000000000001,13.99,USD,0,4.6,4880,100,3410,true,reseller,unknown
Amazon,B07N8G6NLK,B07N8G6NLK,Powerbuilt,ATVPDKIKX0DER,2024-04-30 00:00:00.000,2.99900000000000001,23.62,USD,0,4.3,576,50,29548,true,reseller,unknown
Amazon,B0C3C56XMC,B0C3C56XMC,Zak Designs,ATVPDKIKX0DER,2024-04-30 00:00:00.000,2.39900000000000001,17.32,USD,0,4.7,1688,100,1132,true,reseller,unknown
Amazon,B015G7T7UA,B015G7T7UA,VELCRO Brand,A1UEW3GW612BDQ,2023-05-16 00:00:00.000,11.39,12.03,USD,0,4.4,6172,217,2352,true,reseller,unknown
Amazon,B00ANZU6OM,B00ANZU6OM,Weruva,A2HY410GRSJDW5,2022-09-17 00:00:00.000,0,54.96,USD,0,4.2,268,242,1636,false,reseller,unknown
Amazon,B01GVQWVV2,B01GVQWVV2,ASICS,A2S5R38H99SNKO,2023-08-02 00:00:00.000,0,99.95,USD,0,4.6,6911,46,415016,false,reseller,unknown
Amazon,B085NWKYJX,B085NWKYJX,Madison Park,ATVPDKIKX0DER,2023-08-19 00:00:00.000,154.99,111.99,USD,0,4.4,4828,73,89996,false,reseller,unknown
Amazon,B0053TTXVU,B0053TTXVU,BIC,ATVPDKIKX0DER,2023-08-15 00:00:00.000,10.99,9.99,USD,0,4.5,9272,200,3069,true,reseller,unknown
Amazon,B001E5L19O,B001E5L19O,Elmer's,A1L987OQZSDIXN,2024-06-10 00:00:00.000,1.39800000000000001,1.39800000000000001,USD,0,4.6,1052,300,23700,true,reseller,unknown
Amazon,B08K8S5DWT,B08K8S5DWT,HOMEK,A2TK7QM5TIB9DC,2024-05-28 00:00:00.000,3.99500000000000001,3.99500000000000001,USD,0,4,1039,100,8384,true,reseller,unknown
Amazon,B08CRF46K9,B08CRF46K9,Bavilk,A2QLQO18REI9CS,2024-03-03 00:00:00.000,32.99,16.49,USD,0,4.7,254,50,18100,true,reseller,unknown
